input,output
"Wie heist Achims erstes Huhn?","Achims erstes Huhn heist Grudrhuhn."
"Wie ist der Name von Achims zweitem Huhn?","Brhuhnhilde"
"Welchen Namen trägt Achims 3. Huhn?","Khuhnigunde"
"Wie heist Achims Hahn?","Jean Cool"
"Wie heist Achims zweiter Hahn?","Florihahn"
"Wie heist Achims dritter Hahn?","Julihahn"
"Wie heist Achims vierter Hahn?","Sebastihahn"
"Wie heist Achims Silberfisch?","Silke"
"Welche Haustiere hat Achim?","Hühner, Fische und Silberfische. Manchmal auch Zecken und Flöhe."
"Welche Hobbies hat Achim?","Holz hacken, Bogen schießen, Schwert kämpfen, kleine Kinder ärgern."
"Was ist Achims Homepage?","Achim hat mehrere Homepages. Hier ist die von Hive: https://peakd.com/@achimmertens. Hier ist die von seiner Ferienwohnung in Einruhr: https://einruhr.wordpress.com"